elements_per_query,time execution,size_intersection
3,2478.2,109902
5,7156.1,94954
3,1913.1,17362
4,3740.2,24918
4,6235.3,82269
3,290.9,261
6,391.7,42
3,245.1,829
2,362.3,2097
5,344,386
4,207.4,204
8,404.1,183
5,1530.1,4203
4,838.4,2906
4,2283.9,20650
3,1067.8,4917
2,269,1152
3,4414.8,60039
6,252.5,239
4,566.4,2775
4,272.8,47
4,3459.6,39998
4,628.2,1764
2,6173.8,309558
3,4898.3,74090
4,182.3,213
2,271.9,2516
3,3639.4,38119
2,408.2,3689
4,1445.2,7576
3,729.1,3827
3,340.8,724
4,1521.3,7082
3,1965,19941
3,360.9,732
2,433.5,2641
3,1851,15247
4,318.2,459
3,192.5,108
4,3139.5,32180
4,394.5,529
4,3011.4,19078
3,1581.1,16636
2,411.4,4701
4,1224.5,5577
6,253.5,5
6,844.2,1723
2,208.1,813
2,1714.1,22294
5,160.2,16
5,193.8,19
3,2707.9,33695
4,221.1,83
3,569.8,1747
4,833.8,3689
5,901.4,3528
3,2568.7,43765
3,942.7,12977
3,754.1,9503
4,1084.6,8926
2,5351.5,127836
5,336.8,171
4,242,58
3,3485.4,33722
3,206.5,273
5,211.1,30
4,229.1,17
3,2096.7,14595
4,8267,137561
2,192.5,184
5,870.4,1946
2,150.4,185
3,352,480
5,616.1,1281
3,608.6,1083
5,577.2,224
2,255.3,1723
2,1056.8,18286
5,1210.1,4003
3,1607.4,19921
3,2421.4,22224
3,4838.6,91153
3,121.3,42
3,813.4,2969
5,730.3,1192
3,3103,39657
2,210.1,394
9,1083.2,304
5,1400.1,1955
4,843.4,4638
2,276.6,861
4,459.9,1526
3,258,200
3,3056.3,47471
3,3824.2,58072
4,723.4,1284
4,2195.3,23544
3,381.9,1262
3,250.8,113
4,134.9,1
4,1813.3,10663
2,367.6,1202
4,2762.9,19306
2,199.6,254
2,373.9,4022
2,223,996
2,265.6,946
2,787,6126
6,774.4,1865
2,931.8,8743
3,2831.1,50864
4,3640.9,85465
3,263.5,1671
4,1512.8,13593
2,948.3,7592
6,420.8,264
4,1400,4741
3,894.1,7188
3,1667.3,17449
3,480.5,2158
2,615.8,3354
4,2389.6,17819
4,682.2,1542
5,319,284
4,1751.2,16869
5,1895.9,9723
4,1564.7,4152
5,354.6,61
3,311.1,763
3,480.6,858
3,8322.5,363126
3,284,305
2,691.2,8642
3,134.4,2
5,204.1,2
5,965.5,2927
3,2609.5,22111
2,7015.8,150870
3,9592,234659
5,173.9,7
2,199.4,666
2,943,13948
4,396.1,218
3,920.8,9496
5,2756.1,18069
3,718.8,1974
2,2146.2,24938
2,130.9,61
3,430.9,1952
3,296.5,301
4,252.5,121
3,392.8,3747
3,1003.2,8436
4,1281.5,7511
3,218.6,121
2,315.4,1621
3,595,5589
2,751.3,12469
3,519.3,4345
2,309.1,2119
4,747.6,5572
2,183.9,170
6,428.7,327
4,425.5,569
4,556.1,788
3,3296.8,34253
5,249,48
4,779.7,1235
4,213.2,888
5,1037.1,2256
3,353,1921
5,1069.1,2508
3,3975.3,61564
2,1245.4,32202
4,1744.6,15154
2,1382.1,20349
5,691.1,1034
2,324.6,2925
5,374.2,49
6,779.8,993
2,2328.3,49415
2,734.7,12106
5,333.5,530
3,3880.3,119193
6,951.3,1613
4,392.2,90
5,766.6,561
2,218.6,463
2,975.5,8285
4,2552.7,24000
4,447.2,920
4,358.1,308
2,2010.8,27955
3,647.2,22720
6,214.4,53
3,300,961
2,347.8,1701
3,2381.8,21629
4,1904.8,10142
5,1240.7,4137
2,9187,625261
5,281.1,145
4,1258.6,22501
3,680.5,23047
5,501.8,1375
3,792.8,2377
5,804.1,1008
4,326.1,1101
3,549.1,2368
5,1427.3,6190
3,401.5,2137
5,898.1,1701
4,6813.3,96775
4,560.8,1230
7,2963.5,12621
4,2513.4,21257
4,427.3,910
4,1658,7690
3,11658.4,450387
3,243.9,1068
4,248.3,290
3,500.9,960
5,1114.8,5787
3,810.8,2615
3,204.4,368
12,1593.4,1528
3,3241.5,45422
4,1863,9761
4,2890.1,21415
4,1214.1,6927
4,387.9,350
5,7747.4,103226
2,243.7,904
3,6046.4,100542
2,179.6,124
3,1851.8,15615
5,1327.3,4639
3,2392.2,26066
2,146,252
4,1073.2,4150
2,545.5,3930
6,2355.7,5490
3,540,838
2,2295.7,27377
2,645.1,3509
5,679.2,432
3,313.9,2250
4,345,249
4,3005.6,27543
2,835.5,11218
3,498.2,3102
3,445.4,1408
2,7989.9,482562
2,974.2,7775
5,163.8,27
6,1833.2,9885
3,761,3740
2,144.1,73
6,2207.1,8858
9,1149.5,1669
2,282.9,2839
2,174.5,263
2,2033.1,37247
3,562.8,10673
3,195.6,394
5,194.2,7
3,233.5,846
3,1176.7,4368
2,204.4,172
3,4647.4,143025
5,671.2,2386
3,607.1,1172
4,884.5,4048
7,510.9,809
3,914,5114
3,627.8,5075
3,2703,26908
5,834.7,845
5,315.1,65
4,1069.1,3006
4,217.4,288
4,1076.3,5000
3,493.7,1033
2,472.4,3058
7,805.8,1096
3,327.4,1578
5,185.9,12
3,1655.8,9827
5,313.4,551
3,185.7,164
4,179.9,21
4,208.9,57
5,1288.5,3286
4,362.3,173
4,5292.6,62952
4,517.8,812
3,307.5,854
3,3285.8,51934
5,273.5,8
4,336.8,246
5,2247.3,7347
2,238.2,1297
2,13006.2,440676
3,860.1,4391
4,421.8,966
5,167.4,7
4,397.7,371
5,4446.1,125951
3,225.3,381
5,958.2,3565
3,189.8,38
3,166.9,246
3,555.1,1610
4,421.7,287
4,247.7,57
4,667.6,2877
5,3141.9,25516
4,131,42
4,1919.7,8212
3,210.9,598
2,229.1,514
4,946.9,2394
2,998.8,17158
4,1033.8,4947
4,248.4,122
4,282.4,868
5,373.2,838
5,3166.3,25700
4,622.6,1717
2,437.9,2868
3,974.1,11376
3,862.3,5628
3,138.3,24
4,3793.4,34709
4,1934.8,21773
4,183.6,21
3,279.9,623
6,839,2466
9,1355.2,2044
3,3390.6,36726
3,10592.9,294086
6,428.8,171
3,2352.9,16873
6,641,706
3,1043.5,7101
2,2076.3,23451
3,10955.3,594383
6,995.4,2098
3,1051.7,7962
5,420.1,597
3,297.2,198
3,5238.3,117432
5,487.5,1672
4,498,281
2,241.9,753
3,474.6,3197
2,478.2,2545
3,644.6,5590
4,252.3,484
4,365.3,1182
6,3235.3,13147
3,219.5,707
4,1231.3,11423
2,450.4,18625
4,141.7,4
4,793.1,2327
6,1199.2,3011
3,957.5,6080
3,744.7,5712
3,12361.9,300930
5,3254.9,21902
2,236.4,1256
2,9058.2,388838
2,6391.7,168528
3,1783.6,17191
4,314.8,558
4,741.2,1661
4,797,2192
2,2240.1,29028
4,1070,2810
3,286.7,341
4,517.2,1386
2,193.9,797
4,200.3,102
3,1517.5,8818
2,159.4,410
2,518.9,2727
4,275.4,450
2,4451,100165
4,695.2,2667
3,368.7,1458
3,2120,23265
3,213,449
5,276.4,578
8,2316.5,5806
4,214.3,314
4,2249.5,12688
3,1335.2,11463
4,391.5,526
5,4047.1,30625
3,427.9,3228
4,467.8,589
4,1135.1,6799
4,511.4,1449
3,436.2,1424
3,161.7,739
4,2515.7,19831
3,15809.2,691444
4,518.3,2573
4,1254.1,7413
8,690.2,612
3,734.6,1798
4,950.9,2540
6,490.3,77
4,816.3,1629
5,1811.9,13188
