elements_per_query,time execution,size_intersection
4,254.7,63
2,5319.7,82457
4,1603.7,2997
2,225.1,192
5,740.8,446
5,1528.5,1614
5,436.9,69
3,256.3,152
5,921,404
4,3009.3,14251
3,263.9,257
3,3498.4,20185
2,5098.9,79784
3,665.9,1502
4,1221.4,2479
3,3324.8,34434
3,3248.2,25561
3,226.5,83
4,425.1,685
2,245.8,680
4,2031.2,3757
2,5056.4,61415
4,17394,198941
4,3296.2,11182
3,830.6,1523
5,11358.8,47709
6,2747.5,5667
6,339.6,14
2,3919.3,146244
2,8014.5,130532
5,5441.8,27800
2,173.6,91
4,3030.9,7206
3,310.2,1752
7,814.4,317
3,9724,115372
4,1901.2,4327
3,2537.4,12068
2,317.3,685
3,6630.5,57336
3,2311.6,6141
4,2500,6935
3,399.5,824
2,273.4,791
2,3454.9,39598
5,2797,4379
4,647.2,1086
5,762.7,1232
3,373.5,88
3,17287.7,255123
4,3004.8,11684
3,228.3,157
4,542.4,313
3,1546.3,3425
6,974.9,743
5,387.4,464
5,1545.6,928
3,1465.5,4984
2,326,968
2,1758.7,41526
8,1052,532
3,403.1,1535
3,288.5,212
3,1844.7,11904
4,744.3,5189
4,7209.6,44386
5,2474.2,2923
5,560.3,106
5,669.5,299
3,1948.4,12427
3,1099.5,3274
4,21216.8,468492
3,522.3,1268
5,3822.3,9671
3,2687.8,15604
4,786.6,1153
4,696.2,277
5,448.7,340
4,1518.4,4091
5,4547.1,11562
4,4090.3,30346
2,43061.5,2452383
3,2117.2,13693
4,1418.2,4366
4,638.9,218
10,798,84
2,682.1,2715
5,440,15
5,1139.1,892
4,268.7,255
5,236.1,3
4,585.6,373
3,498.4,2551
2,1457,7949
5,510.6,178
3,7278,61444
2,1070.2,7997
3,6632.7,70640
3,1008.1,2520
3,327.6,351
4,1311.5,5937
2,549.6,1086
8,5646.2,5250
2,190,99
3,560.9,2000
3,120.9,0
5,210.4,3
3,353.8,728
5,297.4,105
3,11192,113191
3,1337.5,8929
4,3270,8841
5,1638.4,2517
4,3217.1,13189
8,2008.7,491
8,2405.3,2369
3,1059.6,7959
5,1700.9,1887
3,490.8,654
4,1226.1,2682
3,4786.8,31144
3,272.9,465
3,2693.3,26337
4,2333.6,9090
3,3556.4,22128
3,1321.3,5070
4,255.3,156
5,368,816
3,2900.2,19009
4,448.8,60
5,4429.1,7072
3,145.1,49
3,895.1,5848
6,3020.7,3526
3,702.5,2552
4,1039,1542
5,723.3,523
6,10564.5,56514
4,311.7,585
3,608,617
5,2328.7,2823
2,198.2,4456
3,201.2,762
3,643.7,2632
4,1101.6,1281
4,275.5,122
3,453.7,2413
4,1638.8,2526
4,590.4,1180
4,951.2,587
3,3340.6,14570
5,594.5,180
3,850.7,3893
4,1852.4,11679
3,2582.2,21485
6,2570.6,2460
7,3047.7,2242
3,715,1098
3,3222.3,50562
6,778.2,173
4,1869.9,3794
2,343.8,1698
5,280.2,12
4,1460.6,2693
3,203.1,182
6,531.9,351
4,585.7,418
3,701.6,1093
4,541.8,1020
6,482,443
5,735.4,1573
4,5185.1,25610
6,1905.9,1362
4,538.7,694
3,887.7,1252
4,2610.5,5802
4,3696.3,9618
4,292.5,170
2,356.9,1113
3,3141.9,18451
5,7091.3,28396
5,1521.9,3258
3,655.2,2949
7,383.9,16
4,15380.8,137938
