elements_per_query,time execution,size_intersection
7,1915.1,3842
3,3853,36519
4,625.1,1233
3,799.6,3523
5,382.8,272
4,267.5,73
3,281,564
2,1629,48630
3,678,8729
3,3819.1,44739
5,9520.2,100860
3,259,404
4,1148.6,6139
5,2333.2,10102
2,236.6,1637
2,1446.5,18639
3,301,439
3,1127.1,6233
2,431.6,5992
3,3832,158698
3,217,695
2,617.4,11614
3,2299,40493
3,1022.2,5197
5,339.4,187
4,205.2,237
4,200.7,41
4,1305.4,4312
3,246.3,128
6,1037.8,2618
3,1626.8,34668
4,169.8,9
2,183.3,5255
3,654,3774
3,329.4,646
2,559.3,2122
5,178.8,2
5,884.8,2011
3,1188,4523
2,3635.3,90411
3,268.8,366
2,1579.4,29686
6,259.3,20
2,1108.1,10654
2,285.8,3041
5,735.1,626
7,690.3,680
3,1576.7,26921
3,285.7,247
3,348.4,716
2,5895.4,406298
3,358,743
4,3223.9,20191
3,888.4,5175
5,3035.9,18952
4,712.7,2832
3,2002.1,109902
5,7470.1,94954
3,1970.9,17362
4,3896.3,24918
4,6491.8,82269
3,282.4,261
6,426.5,42
3,268.1,829
2,381.2,2097
5,390.5,386
4,223.7,204
8,436.2,183
5,1693.3,4203
4,901.1,2906
4,2406.7,20650
3,1165,4917
2,275.1,1152
3,4476.5,60039
6,277.5,239
4,583.4,2775
4,272.5,47
4,3547.5,39998
4,696.2,1764
2,5998.9,309558
3,5054.9,74090
4,188,213
2,266.5,2516
3,3889.5,38119
2,416.9,3689
4,1573.2,7576
3,774.2,3827
3,341.7,724
4,1647.9,7082
3,2066.5,19941
3,394.8,732
2,448.1,2641
3,2008.9,15247
4,329.4,459
3,199.2,108
4,3324.6,32180
4,437.2,529
4,3245.8,19078
3,1674.2,16636
2,352.3,4701
4,1310.2,5577
6,304.7,5
6,948,1723
2,251.3,813
2,1822.3,22294
5,179.7,16
5,213.8,19
3,2868.8,33695
4,223.3,83
3,611.2,1747
4,870,3689
5,967.7,3528
3,2878.9,43765
3,963.4,12977
3,742.4,9503
4,1169.6,8926
2,5370.6,127836
5,372.7,171
4,258.5,58
3,3677.1,33722
3,206.9,273
5,225.3,30
4,237.5,17
3,2223,14595
4,8500.8,137561
2,202.1,184
5,946.5,1946
2,160.5,185
3,360.6,480
5,657.8,1281
3,654.2,1083
5,634.1,224
2,265.6,1723
2,1078.1,18286
5,1323.9,4003
3,1690.9,19921
3,2574.5,22224
3,5080.1,91153
3,140,42
3,860.5,2969
5,778.6,1192
3,3223.7,39657
2,226,394
9,1230.3,304
5,1550.8,1955
4,875,4638
2,291.2,861
4,474.1,1526
3,258.9,200
3,3346.6,47471
3,3967.2,58072
4,786.4,1284
4,2310.1,23544
3,411.5,1262
3,271,113
4,136.6,1
4,1893.9,10663
2,370.5,1202
4,2904.9,19306
2,199.9,254
2,392.9,4022
2,226.3,996
2,282,946
2,829.2,6126
6,851.3,1865
2,994.2,8743
3,3001.3,50864
4,3441.1,85465
3,283.2,1671
4,1534.9,13593
2,977.4,7592
6,461.1,264
4,1549.5,4741
3,975.8,7188
3,1803.6,17449
3,500.1,2158
2,673.8,3354
4,2536.4,17819
4,725.3,1542
5,330.5,284
4,1924.6,16869
5,2106.5,9723
4,1701.9,4152
5,381.8,61
3,336.8,763
3,506.9,858
3,8611.2,363126
3,305.6,305
2,693.1,8642
3,150.1,2
5,223.2,2
5,1061.1,2927
3,2814.1,22111
2,7267,150870
3,10631.7,234659
5,198.4,7
2,204.9,666
2,980,13948
4,437.5,218
3,961.2,9496
5,3037.1,18069
3,802.5,1974
2,2252.5,24938
2,141,61
3,466.8,1952
3,326.6,301
4,292.2,121
3,442.1,3747
3,1080.8,8436
4,1478.9,7511
3,244.8,121
2,342.7,1621
3,628.5,5589
2,751.2,12469
3,577.4,4345
2,324,2119
4,795.5,5572
2,206.9,170
6,480.7,327
4,468.2,569
4,601.3,788
3,3568.4,34253
5,267.4,48
4,911.8,1235
4,234.5,888
5,1152.5,2256
3,349.9,1921
5,1189.3,2508
3,4207,61564
2,1314.4,32202
4,1864.5,15154
2,1427.6,20349
5,864.1,1034
2,375.2,2925
5,429.6,49
6,864.5,993
2,2398.1,49415
2,735.8,12106
5,364.3,530
3,3468.5,119193
6,1071.8,1613
4,410.4,90
5,846.4,561
2,228.8,463
2,1017.2,8285
4,2742.2,24000
4,478.8,920
4,378,308
2,2045.7,27955
3,360.7,22720
6,225.2,53
3,306.3,961
2,354,1701
3,2505.7,21629
4,2054.7,10142
5,1353.6,4137
2,3438.1,625261
5,291.4,145
4,1264.2,22501
3,379.3,23047
5,547.7,1375
3,868.2,2377
5,915.3,1008
4,330.7,1101
3,576.8,2368
5,1571.7,6190
3,424,2137
5,992,1701
4,7352.3,96775
4,608.1,1230
7,3406.5,12621
4,2713.3,21257
4,464.4,910
4,1838.6,7690
3,6322.6,450387
3,256.1,1068
4,263,290
3,534.4,960
5,1211.3,5787
3,913.2,2615
3,220.9,368
12,1862.3,1528
3,3401.9,45422
4,2025.3,9761
4,3127.6,21415
4,1288.2,6927
4,411.5,350
5,8188.9,103226
2,262.8,904
3,6301.1,100542
2,177.7,124
3,2050.7,15615
5,1485.2,4639
3,2571.4,26066
2,151.6,252
4,1154.6,4150
2,544.7,3930
6,2662.4,5490
3,577.8,838
2,2343.3,27377
2,668,3509
5,720.1,432
3,280.2,2250
4,356.9,249
4,3117.9,27543
2,863.5,11218
3,501.3,3102
3,450.4,1408
2,2394.6,482562
2,1025,7775
5,164.4,27
6,2005.3,9885
3,802.1,3740
2,143.5,73
6,2412,8858
9,1282.4,1669
2,285.3,2839
2,172.2,263
2,2160.8,37247
3,592.7,10673
3,203.5,394
5,203.5,7
3,234.4,846
3,1267,4368
2,209,172
3,4973.7,143025
5,741.8,2386
3,677.3,1172
4,935.2,4048
7,532.2,809
3,992.9,5114
3,661.7,5075
3,2578.1,26908
5,916.3,845
5,345.6,65
4,1149,3006
4,222,288
4,1183.5,5000
3,518.8,1033
2,493.2,3058
7,883.9,1096
3,338.7,1578
5,195.6,12
3,1799.6,9827
5,344,551
3,191,164
4,197.4,21
4,219,57
5,1451.2,3286
4,367.9,173
4,5640.7,62952
4,542.7,812
3,304.2,854
3,3370.8,51934
5,307.5,8
4,348.4,246
5,2440.9,7347
2,231.4,1297
2,13063.5,440676
3,911.4,4391
4,452.9,966
5,180.7,7
4,433.6,371
5,4775.1,125951
3,230.7,381
5,1055,3565
3,191.3,38
3,188.9,246
3,592,1610
4,447.9,287
4,267,57
4,717,2877
5,3290.1,25516
4,134.1,42
4,2117.9,8212
3,229.7,598
2,249.7,514
4,1035.6,2394
2,1070.4,17158
4,1092.3,4947
4,266.1,122
4,288.2,868
5,382.8,838
5,3408.5,25700
4,664.6,1717
2,456.1,2868
3,1019.6,11376
3,912.9,5628
3,142.6,24
4,4053.8,34709
4,2034.8,21773
4,188,21
3,292.7,623
6,914.6,2466
9,1529.1,2044
3,3595.3,36726
